CVEGEO,Estatus,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,AMBITO,LATITUD,LONGITUD,LAT_DECIMAL,LON_DECIMAL,ALTITUD,CVE_CARTA,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
"090020001","","09","Ciudad de Mexico","CDMX","002","Azcapotzalco","0001","Azcapotzalco","U","19°29´02.770"N","099°11´03.698"W","19.48410200","-99.18436000","2244","E14A39","432205","204950","227255","134204"
"090030001","","09","Ciudad de Mexico","CDMX","003","Coyoacan","0001","Coyoacan","U","19°21´00.770"N","099°09´43.724"W","19.35021400","-99.16214600","2247","E14A39","614447","289110","325337","191646"
"090040001","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0001","Cuajimalpa de Morelos","U","19°21´26.461"N","099°17´59.252"W","19.35735000","-99.29979200","2780","E14A39","186693","89078","97615","52530"
"090040010","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0010","Cruz Blanca","R","19°19´04.026"N","099°19´26.437"W","19.31778400","-99.32401000","2985","E14A39","728","366","362","192"
"090040020","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0020","San Lorenzo Acopilco","U","19°19´51.617"N","099°19´32.454"W","19.33100400","-99.32568100","2937","E14A39","26042","12626","13416","6627"
"090040050","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0050","La Venta","R","19°20´03.752"N","099°18´36.766"W","19.33437500","-99.31021300","2863","E14A39","486","216","270","124"
"090040054","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0054","Puerto las Cruces (Monte las Cruces)","R","19°17´41.500"N","099°20´51.436"W","19.29486100","-99.34762100","3200","E14A38","1233","585","648","323"
"090040055","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0055","Teopazulco","R","19°20´45.333"N","099°19´23.215"W","19.34592600","-99.32311500","2941","E14A39","80","40","40","23"
"090040056","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0056","Valle de las Monjas","R","19°20´18.829"N","099°17´35.672"W","19.33856300","-99.29324200","2666","E14A39","108","61","47","32"
"090040057","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0057","Prolongacion Constitucion","R","19°21´09.542"N","099°19´36.019"W","19.35265100","-99.32667100","2712","E14A39","131","66","65","32"
"090040058","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0058","Paraje Rio Borracho","R","19°20´57.976"N","099°19´41.652"W","19.34943700","-99.32823600","2696","E14A39","80","36","44","21"
"090040059","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0059","El Zarco","R","19°17´35.718"N","099°21´15.809"W","19.29325500","-99.35439100","3141","E14A38","24","12","12","9"
"090040060","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0060","La Bolsa (El Encinal)","R","19°20´20.408"N","099°18´06.266"W","19.33900200","-99.30174100","2783","E14A39","9","*","*","2"
"090040062","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0062","Los Campesinos [Rancho]","R","19°18´18.001"N","099°20´40.786"W","19.30500000","-99.34466200","3056","E14A38","29","15","14","5"
"090040063","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0063","Santa Rosa","R","19°19´23.959"N","099°17´42.290"W","19.32332100","-99.29508000","2860","E14A39","818","404","414","204"
"090040064","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0064","Paraje Cerro de los Padres","R","19°21´51.054"N","099°19´01.120"W","19.36418200","-99.31697700","2846","E14A39","12","*","*","1"
"090040066","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0066","Santa Laura [Rancho]","R","19°20´36.786"N","099°19´10.138"W","19.34355100","-99.31948200","2723","E14A39","38","25","13","14"
"090040067","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0067","La Papa [Escuela Niños Heroes]","R","19°20´42.793"N","099°18´46.174"W","19.34522000","-99.31282600","2853","E14A39","4","*","*","1"
"090040068","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0068","Convento del Desierto de los Leones","R","19°18´49.000"N","099°18´37.000"W","19.31361100","-99.31027800","2977","E14A39","0","0","0","0"
"090040069","","09","Ciudad de Mexico","CDMX","004","Cuajimalpa de Morelos","0069","La Troje","R","19°19´37.118"N","099°19´05.778"W","19.32697700","-99.31827100","2834","E14A39","0","0","0","0"
