Diagnostico,Freq,Extendido,Clasificación
_A,,abdomen,Cuerpo
_AMi,,abdomen miembros,Cuerpo
_AP,4,abdomen pelvis,Cuerpo
_C,1,craneo,Cuerpo
_CA,1,craneo abdomen,Cuerpo
_CaCu,,cara cuello,Cuerpo
_CAP,,craneo abdomen pelvis,Cuerpo
_CCer,,craneo cervico,Cuerpo
_CCerM,,craneo cervico medular,Cuerpo
_CCerT,,craneo cervico torax,Cuerpo
_CCu,,craneo cuello,Cuerpo
_CE,,craneo encefalico,Cuerpo
_CEA,,craneo encefalico abdomen,Cuerpo
_CEMi,,craneo encefalico miembro,Cuerpo
_Cer,5,cervico,Cuerpo
_CerM,2,cervico medular,Cuerpo
_CerT,,cervico torax,Cuerpo
_CET,,craneo encefalico torax,Cuerpo
_CETA,,craneo encefalico torax abdomen,Cuerpo
_CF,,craneo facial,Cuerpo
_CMi,,craneo miembro,Cuerpo
_CP,1,craneo pelvis,Cuerpo
_CRaq,,craneo raqui,Cuerpo
_CRaqM,,craneo raqui medular,Cuerpo
_CT,,craneo torax,Cuerpo
_CTA,,craneo torax abdomen,Cuerpo
_CTAP,,craneo torax abdomen pelvis,Cuerpo
_CTP,,craneo torax pelvis,Cuerpo
_CTV,,craneo torax vientre,Cuerpo
_CuA,,cuello abdomen,Cuerpo
_CuT,,cuello torax,Cuerpo
_Med,1,medular,Cuerpo
_MiI,,miembro inferior,Cuerpo
_Mio,,miocardio,Cuerpo
_MiS,,miembro superior,Cuerpo
_P,3,pelvis,Cuerpo
_PA,3,pelvis abdomen,Cuerpo
_PMi,,pelvis miembro,Cuerpo
_RaqM,,raqui medular,Cuerpo
_T,,torax,Cuerpo
_TA,1,torax abdomen,Cuerpo
_TAP,,torax abdomen pelvis,Cuerpo
_TMi,,torax miembro,Cuerpo
_TP,,torax pelvis,Cuerpo
_TRaq,,torax raqui,Cuerpo
_TV,,torax vientre,Cuerpo
_V,2,vientre,Cuerpo
AAxHE,11,anemia por hemorragia,
Aborto,51,aborto,Morbilidad y mortalidad perinatales
Abs,21,absceso,Infecciones
AE,143,asfixia por estrangulacion,Obstrucción de vías aéreas
Alcohol,17,alcohol,
AN,251,anemia,
ANEN,574,asfixia neo natorum,Morbilidad y mortalidad perinatales
Anencefalia,8,anencefalia,Morbilidad y mortalidad perinatales
Aneurisma,8,aneurisma,
Anoxia,24,anoxia,Obstrucción de vías aéreas
AOVA,936,asfixia por obstruccion de vias aereas,Obstrucción de vías aéreas
Apendicitis,4,apendicitis,Enfermedades del aparato digestivo
AQ,87,amputacion quirurgica,Trauma
AQXT,686,amputacion quirurgica por traumatismo,Trauma
AQXTMi,10,amputacion quirurgica por traumatismo miembro,
AQxTrat,2,amputacion quirurgica por tratamiento,
ASB,561,asfixia por sumersion,Obstrucción de vías aéreas
ASF,117,asfixia,Obstrucción de vías aéreas
AT,30,amputacion traumatica,Trauma
Avionetazo,3,avionetazo,Trauma
AXA,694,asfixia por ahorcamiento,Obstrucción de vías aéreas
BBNT,99,bronconeumonia no traumatica,Neumonías
BN,5329,bronconeumonia,Neumonías
