Diagnostico_transcrito,Diagnostico_estandar,Diagnostico_extendido,Freq,Npartes,Nfalta,IDs,Diagnostico_clasificacion
EsCyP,_CP,craneo pelvis,1,2,1,BO_1976_04982,
HIPsP,_P,pelvis,1,2,1,BO_1976_04735,
AAxHE,AAxHE,anemia por hemorragia,3,1,0,"BO_1975_04592,BO_1978_05076,BO_1978_05382",Causas externas de morbilidad y de mortalidad
AAXHE,AAxHE,anemia por hemorragia,1,1,0,BO_1976_00517,Causas externas de morbilidad y de mortalidad
AAXHE por VP,AAxHE,anemia por hemorragia,1,2,1,BO_1974_00731,Causas externas de morbilidad y de mortalidad
AAxHExPardis,AAxHE,anemia por hemorragia,1,2,1,BO_1978_02937,Causas externas de morbilidad y de mortalidad
AAyHE,AAxHE,anemia por hemorragia,1,1,0,BO_1977_00151,Causas externas de morbilidad y de mortalidad
AAxHExAborto,AAxHE+Aborto,aborto + anemia por hemorragia,1,2,0,BO_1978_04011,"Causas externas de morbilidad y de mortalidad + Embarazo, parto y puerperio"
AAHE+HPIPVP,AAxHE+HIPC,anemia por hemorragia + herida punzo cortante,1,2,0,BO_1979_06246,Causas externas de morbilidad y de mortalidad + Herida punzo cortante
AAxHE + HI Pc P,AAxHE+HIPC,anemia por hemorragia + herida punzo cortante,1,2,0,BO_1978_00152,Causas externas de morbilidad y de mortalidad + Herida punzo cortante
AAxHExHPAFP,AAxHE+HPAF,anemia por hemorragia + herida arma fuego,1,2,0,BO_1978_03663,Causas externas de morbilidad y de mortalidad + Herida por arma de fuego
Aborto,Aborto,aborto,6,1,0,"BO_1976_01879,BO_1977_00139,BO_1977_01500,BO_1977_02198,BO_1979_03277","Embarazo, parto y puerperio"
Aborto+,Aborto,aborto,1,1,0,BO_1975_00181,"Embarazo, parto y puerperio"
BN+ABORTO,Aborto+BN,aborto + bronconeumonia,2,2,0,"BO_1974_01584,BO_1974_02299","Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
BN+Aborto,Aborto+BN,aborto + bronconeumonia,1,2,0,BO_1974_00133,"Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
Infartos ps Cerebro+abosto septico,Aborto+Cereb+Inf,aborto + cerebro + infarto o infeccion,1,4,1,BO_1974_00431,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto + EP,Aborto+EP,aborto + edema pulmonar,1,2,0,BO_1978_03021,"Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
HIxAborto,Aborto+HIPC,aborto + herida punzo cortante,1,2,0,BO_1978_05419,"Embarazo, parto y puerperio + Herida punzo cortante"
Aborto + Per,Aborto+PER,aborto + peritonitis o perforacion,1,2,0,BO_1979_00697,"Embarazo, parto y puerperio + Enfermedades del sistema digestivo"
SxAbortoPerV,Aborto+PER+Septi+_V,aborto + peritonitis o perforacion + septicemia + vientre,1,4,0,BO_1975_02593,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio + Enfermedades del sistema digestivo"
PN+Aborto,Aborto+PN,aborto + pleuro pneumonia,1,2,0,BO_1974_00635,"Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
PN+AbortoSep,Aborto+PN+Septi,aborto + pleuro pneumonia + septicemia,1,3,0,BO_1975_01009,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
Aborto+S,Aborto+Septi,aborto + septicemia,10,2,0,"BO_1975_03181,BO_1975_04830,BO_1976_05862,BO_1977_00781,BO_1978_02834","Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Septico+S,Aborto+Septi,aborto + septicemia,2,2,0,"BO_1974_01493,BO_1975_05030","Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
SxAborto Septico,Aborto+Septi,aborto + septicemia,1,3,0,BO_1975_00442,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
S + Aborto Sep,Aborto+Septi,aborto + septicemia,1,3,0,BO_1974_00158,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
(Aborto) A Septico,Aborto+Septi,aborto + septicemia,1,2,0,BO_1975_02833,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
ABORTO+S,Aborto+Septi,aborto + septicemia,1,2,0,BO_1978_02594,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Sep,Aborto+Septi,aborto + septicemia,1,2,0,BO_1978_04835,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Sept,Aborto+Septi,aborto + septicemia,1,2,0,BO_1977_01896,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto Septico,Aborto+Septi,aborto + septicemia,1,2,0,BO_1975_06522,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Abortyo+S,Aborto+Septi,aborto + septicemia,1,2,0,BO_1978_03150,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Cuadro Septico por aborto,Aborto+Septi,aborto + septicemia,1,2,0,BO_1974_02896,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
CuadroSeptico AbortoSeptico,Aborto+Septi,aborto + septicemia,1,2,0,BO_1975_02984,"Ciertas enfermedades infecciosas y parasitarias + Embarazo, parto y puerperio"
Aborto inco +SH+IP,Aborto+SH,aborto + shock,1,4,2,BO_1975_01664,"Embarazo, parto y puerperio"
Aborto+SH,Aborto+SH,aborto + shock,1,2,0,BO_1979_04275,"Embarazo, parto y puerperio"
