edad_str,edad_int
6 dias,0
30 dias,0
4 meses,0
3 meses,0
14 dias,0
18 dias,0
3 semanas,0
2 meses,0
3m,0
3a,3
4a,4
19m,1
14m,1
10 dias,0
16m,1
18m,1
9m,0
2m,0
6m,0
4m,0
8 dias,0
8 meses,0
18 meses,1
25 dias,0
20 meses,1
6 meses,0
9 meses,0
1 mes,0
5 meses,0
20 dias,0
14 meses,1
11 dias,0
3meses,0
15 dias,0
11 meses,0
10 meses,0
12 dias,0
21 dias,0
10 semns,0
40 dias,0
7 meses,0
3 dias,0
72 horas,0
5 dias,0
1 y 8 meses,0
15 meses,1
48 dias,0
16 meses,1
22 meses,1
?,
13 dias,0
1 meses,0
1 dias,0
26 dias,0
45 dias,0
[8],8
4 dias,0
19 dias,0
17 dias,0
1 dia,0
7 dias,0
22 dias,0
16 dias,0
1 ano 4 meses,1
9 dias,0
2 dias,0
41 dias,0
"1,5",1
1 ano 3 meses,1
"7,5",7
1.3 meses,0
1.5 meses,0
"2,5",2
-12 horas,0
6.5 meses,0
36 dias,0
25-30,27.5
f,
1 1/2 anos,0
46 dias,0
30 meses,2
2.5 anos,2
1.5 anos,1
2.5 meses,0
3.5 anos,3
17 meses,1
53 dias,0
[1-10 dias],0
12 meses,1
27 dias,0
19 meses,1
4.5 anos,4
42 dias,0
7.5 meses,0
13a,13
18a,18
1a,1
5m,0
25-40,32
6 semanas,0
20 o 24,22
28 dias,0
2 anos,2
2 1/2a,2
3 1/2,3
6a,6
12a,12
7a,7
2 1/2,2
24 dias,0
13 meses,0
72 hrs,0
-,
23 meses,0
15 mese,0
3 anos y medio,3
18 m,1
3 m,0
1 1/2,1
8 1/2 meses,0
15a,15
1d,0
15d,0
5a,5
24d,0
1 1/2a,1
6 1/2m,0
17a,17
5d,0
6d,0
8m,0
16a,16
8d,0
3d,0
45d,0
14a,14
25/30,27
7 1/2,7
19d,0
17d,0
7d,0
10a,10
21d,0
2 1/2 m,0
16d,0
2a,2
3 anos,3
6 anos,6
9 anos,9
12 anos,12
17 anos,17
1 ano,1
13 anos,13
5 anos,5
4 anos,4
18 anos,18
65 meses,5
7 anos,7
8 anos,8
2/6,4
10 anos,10
11 anos,11
16 anos,16
15 anos,15
14 anos,14
1 anos,1
19 anos,19
1 1/2 meses,0
8 anos7,8
7 - 12 meses,0
1 - 3,2
2anos,2
30 - 90 dias,0
15-30 dias,0
12 horas,0
7 anoss,7
2 o 3 meses,0
26 meses,2
1 ano 7 meses,1
mas 72,0
5 meses 15 dias,0
m,
3.5 meses,0
-72 h,0
73 dias,0
$45,45
2 1/2 a,2
9 a,9
1 1/2 a,1
2 m,0
8 semanas,0
41 n,41
81a,81
18 mese,1
2 mese,0
r.n,0
47 dias,0
8a,8
50 dias,0
39 meses,3
18-25,21
