Procedencia,Extendido,Alcaldia
AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),Alvaro Obregon
AOB-3,Coord Territorial 3 Alvaro Obregon (Col Progreso Tizapan),Alvaro Obregon
AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),Azcapotzalco
AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),Azcapotzalco
BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),Benito Juarez
BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),Benito Juarez
BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),Benito Juarez
CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),Benito Juarez
COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),Coyoacan
COY-2,Coord Territorial 2 Coyoacan (Col Romero de Terreros),Coyoacan
COY-5,Coord Territorial 5 Coyoacan (Col CTM-Culhuacan),Coyoacan
CR,Cruz Roja (Col Polanco),Miguel Hidalgo
CUH,Cuauhtemoc,Cuauhtemoc
CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),Cuauhtemoc
CUH-2,Coordinación Territorial 2 Cuauhtémoc (Col Buenavista),Cuauhtemoc
CUH-3,Coordinación Territorial 3 Cuauhtémoc (Col Morelos),Cuauhtemoc
CUH-4,Coordinación Territorial 4 Cuauhtémoc (Col Centro),Cuauhtemoc
CUH-5,Coordinación Territorial 5 Cuauhtémoc (Col Santa María La Ribera),Cuauhtemoc
CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),Cuauhtemoc
CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),Cuauhtemoc
CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),Cuauhtemoc
CUH-STCMZV,Agencia del Ministerio Publico Homicidios y Secuestros (Col Guerrero),Cuauhtemoc
CUJ-1,Coord Territorial 1 Cuajimalpa (Col Cuajimalpa Centro),Cuauhtemoc
GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo),Gustavo A Madero
GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),Gustavo A Madero
GAM-3,Coord Territorial 3 Gustavo A Madero - Hosp Mag Salinas (Col Magdalena de las Salinas),Gustavo A Madero
GAM-4,Coord Territorial 4 Gustavo A Madero (Col Aragon la Villa),Gustavo A Madero
GAM-5,Coord Territorial 5 Gustavo A Madero (Col San Juan de Aragon),Gustavo A Madero
GAM-7,Coord Territorial 7 Gustavo A Madero (Col San Juan de Aragon),Gustavo A Madero
HB,Hospital Balbuena (Col Jardin Balbuena),Venustiano Carranza
HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),Cuauhtemoc
HGRL,Hospital Ruben Leñero (Col Santo Tomas),Miguel Hidalgo
HV,Hospital la Villa (Col Granjas Modernas),Gustavo A Madero
HX,Hospital Xoco (Col General Anaya),Benito Juarez
IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),Iztacalco
IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan),Iztacalco
IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),Iztapalapa
IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara),Iztapalapa
IZP-3,Coord Territorial 3 Iztapalapa (Central de Abastos),Iztapalapa
IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),Iztapalapa
MC-1,Coord Territorial 1 Magdalena Contreras (Col Ampliacion Contreras),Magdalena Contreras
MC-2,Coord Territorial 2 Magdalena Contreras (Col Barranca Seca),Magdalena Contreras
MH-1,Coord Territorial 1 Miguel Hidalgo - Hosp Ruben Leñero (Col Tacuba),Miguel Hidalgo
MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil),Miguel Hidalgo
MH-3,Coord Territorial 3 Miguel Hidalgo - Hosp Cruz  Roja (Col Lomas de Chapultepec),Miguel Hidalgo
MH-4,Coord Territorial 4 Miguel Hidalgo (Col Ampliacion Daniel Garza),Miguel Hidalgo
MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),Miguel Hidalgo
MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),Milpa Alta
PGR,Procuraduria General de la Republica,
S-D,Sin datos,
STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),Cuauhtemoc
TLH-1,Coord Territorial 1 Tlahuac (Col Del Mar),Tlahuac
TLH-2,Coord Territorial 2 Tlahuac (Col Barrio La Asuncion),Tlahuac
TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),Tlalpan
TLP-2,Coord Territorial 2 Tlalpan (Col La Joya),Tlalpan
VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),Venustiano Carranza
VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),Venustiano Carranza
VC-3,Coord Territorial 3 Venustiano Carranza - Hosp De  Balbuena (Col Jardin Balbuena),Venustiano Carranza
VO,Villa Obregon,Alvaro Obregon
XO-1,Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),Xochimilco
XO-2,Coord Territorial 2 Xochimilco (Barrio de San Pedro),Xochimilco
