Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
S-D,S-D,Sin datos,25779,1,0,"BO_1968_00001,BO_1968_00002,BO_1968_00003,BO_1968_00004,BO_1968_00005",
32a,COY-2,Coord Territorial 2 Coyoacan (Col Romero de Terreros),2073,1,0,"BO_1977_00143,BO_1977_00175,BO_1977_00204,BO_1977_00231,BO_1977_00248",Coyoacan
33a,HB,Hospital Balbuena (Col Jardin Balbuena),1968,1,0,"BO_1977_00177,BO_1977_00184,BO_1977_00185,BO_1977_00212,BO_1977_00219",Venustiano Carranza
37a,CR,Cruz Roja (Col Polanco),1701,1,0,"BO_1977_00182,BO_1977_00196,BO_1977_00201,BO_1977_00202,BO_1977_00223",Miguel Hidalgo
32,COY-2,Coord Territorial 2 Coyoacan (Col Romero de Terreros),1562,1,0,"BO_1977_05169,BO_1978_01205,BO_1980_00002,BO_1980_00043,BO_1980_00058",Coyoacan
20a,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),1452,1,0,"BO_1974_00005,BO_1974_00027,BO_1974_00085,BO_1974_00087,BO_1974_00122",Iztapalapa
1a,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1377,1,0,"BO_1974_00030,BO_1974_00035,BO_1974_00053,BO_1974_00128,BO_1974_00179",Cuauhtemoc
35a,HX,Hospital Xoco (Col General Anaya),1363,1,0,"BO_1977_00174,BO_1977_00187,BO_1977_00206,BO_1977_00265,BO_1977_00266",Benito Juarez
36a,HV,Hospital la Villa (Col Granjas Modernas),1317,1,0,"BO_1977_00163,BO_1977_00166,BO_1977_00167,BO_1977_00169,BO_1977_00203",Gustavo A Madero
24a,AOB-3,Coord Territorial 3 Alvaro Obregon (Col Progreso Tizapan),1273,1,0,"BO_1974_00049,BO_1974_00073,BO_1974_00088,BO_1974_00165,BO_1974_00175",Alvaro Obregon
34a,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1262,1,0,"BO_1974_05163,BO_1977_00147,BO_1977_00178,BO_1977_00198,BO_1977_00199",Miguel Hidalgo
MH-CR,CR,Cruz Roja (Col Polanco),1181,1,0,"BO_1975_00009,BO_1975_00013,BO_1975_00023,BO_1975_00044,BO_1975_00045",Miguel Hidalgo
13a,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1149,1,0,"BO_1973_01247,BO_1973_03521,BO_1973_03522,BO_1973_03942,BO_1973_03977",Gustavo A Madero
37,CR,Cruz Roja (Col Polanco),1108,1,0,"BO_1978_01206,BO_1980_00001,BO_1980_00004,BO_1980_00021,BO_1980_00033",Miguel Hidalgo
33,HB,Hospital Balbuena (Col Jardin Balbuena),1081,1,0,"BO_1978_01207,BO_1980_00027,BO_1980_00045,BO_1980_00057,BO_1980_00065",Venustiano Carranza
22a,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),1058,1,0,"BO_1974_00040,BO_1974_00099,BO_1974_00189,BO_1974_00221,BO_1974_00248",Coyoacan
